subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
15,3.908,0,0,15.8666666666667,15.0508474576271,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,14
15,5.205,0,0,14,13.9764705882353,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,37
16,3.511,0,3,19.1333333333333,15.8775510204082,1.814,0.122544726253439,1.814,0.122544726253439,1,4,1,1,1,0,0,2,6
16,2.311,1.42857142857143,2,14.7692307692308,14.04,0.893,0.156038768946293,0.893,0.156038768946293,1,4,1,1,1,0,0,2,32
16,3.008,1.42857142857143,3,15,15.9459459459459,0.878,0.188296561390915,0.878,0.188296561390915,1,4,1,1,1,0,0,2,34
16,2.024,1.42857142857143,2,14,14.05,0.325,0.0812669729831784,0.325,0.0812669729831784,1,4,1,1,1,0,0,2,39
16,2.977,0,3,16.4,17.4,1.242,0.0585001000137289,1.242,0.0585001000137289,1,4,1,0,1,0,0,2,47
17,16.257,2.85714285714286,10,14.0909090909091,13.7092511013216,0.376,0.070145418103585,0.376,0.070145418103585,1,4,1,0,1,1,6,1,4
17,6.84,2.85714285714286,8,16.9090909090909,16.5238095238095,0.487,0.215234032932046,0.487,0.215234032932046,1,4,1,1,1,0,0,1,20
17,3.928,2.85714285714286,7,17.4545454545455,21.219512195122,0.318,0.461896239509509,0.318,0.461896239509509,1,4,1,1,1,1,1,1,36
17,3.645,2.85714285714286,4,14.25,12.4285714285714,0.656,0.0518315020461246,0.656,0.0518315020461246,1,4,1,1,1,0,0,1,45
17,3.91,0,3,11.8666666666667,12.7037037037037,1.684,0.12477637019523,1.684,0.12477637019523,1,4,1,1,1,0,0,1,48
18,5.91,0,2,15.4666666666667,15.2613636363636,3.63,0.0544150352584017,3.63,0.0544150352584017,1,4,1,0,1,1,1,2,5
18,5.907,1.42857142857143,2,17.4166666666667,17.0842105263158,NaN,NaN,0.257,0.114147946882268,1,4,1,0,1,0,0,2,30
18,13.053,1.42857142857143,4,15.3846153846154,16.6844444444444,0.522,0.159655707570095,0.522,0.159655707570095,1,4,1,1,1,1,1,2,40
19,15.261,1.42857142857143,5,13.9166666666667,13.4357142857143,0.721,0.824742991674544,0.721,0.824742991674544,1,4,1,1,1,0,0,3,4
19,5.741,1.42857142857143,4,14.4545454545455,12.4252873563218,0.501,0.776035796695711,0.501,0.776035796695711,1,4,1,1,1,0,0,3,19
19,5.163,1.42857142857143,1,13.2307692307692,11.5853658536585,0.369,0.0635110340681664,0.369,0.0635110340681664,1,4,1,0,1,0,0,3,23
19,14.402,1.42857142857143,12,11.6666666666667,11.8865546218487,0.654,0.336489081589097,0.654,0.336489081589097,1,4,1,1,1,0,0,3,36
19,6.026,0,6,14.2666666666667,13.0555555555556,2.625,0.376246659370526,2.625,0.376246659370526,1,4,1,1,1,0,0,3,47
20,16.037,0,14,20.9333333333333,20.6029962546816,1.367,0.0555736636630738,1.367,0.0555736636630738,1,4,1,1,1,1,1,3,10
20,16.836,1.42857142857143,30,19.2307692307692,20.1769230769231,0.658,0.332800417895739,0.658,0.332800417895739,1,4,1,1,1,0,0,3,12
20,17.47,2.85714285714286,24,19.3636363636364,21.5138339920949,NaN,NaN,0.267,0.134827432874776,1,4,1,1,1,1,3,3,24
20,12.456,1.42857142857143,15,20.4166666666667,21.0376344086022,NaN,NaN,0.066,0.362292778439379,1,4,1,1,1,1,2,3,33
20,14.439,0,15,24.25,21.9860465116279,2.372,0.316904081573844,2.372,0.316904081573844,1,4,1,1,1,1,3,3,34
21,4.631,0,3,14.8666666666667,14.6764705882353,2.696,0.105809539936632,2.696,0.105809539936632,1,4,1,0,1,0,0,2,2
21,5.373,4.28571428571429,16,17.1111111111111,16.0322580645161,NaN,NaN,0.119,0.31737790904823,1,4,1,1,1,0,0,2,11
